,title,originallink,link,description,pubDate
0,&quot;남다른 아우라&quot; 송승헌과 어깨 나란히 한 청춘 스타 등장 (복면가왕),https://www.xportsnews.com/article/1982339,https://m.entertain.naver.com/article/311/0001847506,"‘<b>나는 반딧불</b>’ 피노키오 황가람, ‘음색 여신’ 러블리즈 케이가 출격해 볼거리를 더한다. 가슴을 울리는 섬세한 표현력으로 눈물샘을 자극하며 가왕석을 지킨 ‘꽃보다 향수’가 7연승에 도전한다. '복면가왕' 역사상... ","Fri, 04 Apr 2025 18:06:00 +0900"
1,"황가람, 빚 지우기 위해 아르바이트까지? '미운 우리 새끼' 통해 일상 공...",https://www.topstarnews.net/news/articleView.html?idxno=15629855,https://www.topstarnews.net/news/articleView.html?idxno=15629855,'<b>나는 반딧불</b>'도 정산 전이다. 오늘도 아르바이트 가야 된다&quot;라고 밝혔다. 현재 카페에서 아르바이트 중인 황가람은 자신을 알아보는 팬이 등장하자 직접 '<b>나는 반딧불</b>'를 열창하며 팬 서비스를 선사하기도 했다. 황가람은... ,"Fri, 04 Apr 2025 17:48:00 +0900"
2,‘복면가왕’ 송승헌과 어깨 나란히 한 청춘스타?,https://www.bntnews.co.kr/article/view/bnt202504040136,https://www.bntnews.co.kr/article/view/bnt202504040136,"‘<b>나는 반딧불</b>’ 피노키오 황가람, ‘음색 여신’ 러블리즈 케이가 출격해 볼거리를 더한다. 가슴을 울리는 섬세한 표현력으로 눈물샘을 자극하며 가왕석을 지킨 ‘꽃보다 향수’가 7연승에 도전한다. ‘복면가왕’... ","Fri, 04 Apr 2025 16:02:00 +0900"
3,"황가람, ‘<b>나는 반딧불</b>’ 어린이 커버로 ‘초통령’ 인기 입증!",https://sports.khan.co.kr/article/202504041519013?pt=nv,https://m.entertain.naver.com/article/144/0001030385,"신드롬을 일으킨 황가람의 ‘<b>나는 반딧불</b>’은 발매 당시 나 자신이 소중하다는 걸 깨달은 메시지로 많은 이들에게 위로를 전한 바 있다. 여기에 많은 방송을 통해 황가람의 오랜 무명 시절이 다뤄지며, 진정성이 더해진... ","Fri, 04 Apr 2025 15:21:00 +0900"
4,송승헌과 어깨 나란히 한 청춘스타 누구? 남다른 아우라에 술렁(복면가...,https://www.newsen.com/news_view.php?uid=202504041506210310,https://m.entertain.naver.com/article/609/0000971650,"‘<b>나는 반딧불</b>’ 피노키오 황가람, ‘음색 여신’ 러블리즈 케이가 출격해 볼거리를 더한다. 가슴을 울리는 섬세한 표현력으로 눈물샘을 자극하며 가왕석을 지킨 ‘꽃보다 향수’가 7연승에 도전한다. '복면가왕' 역사상... ","Fri, 04 Apr 2025 15:09:00 +0900"
5,"'복면가왕' 꽃보다 향수, 7연승 도전…김연자 추천 복면가수 등판",https://www.slist.kr/news/articleView.html?idxno=632675,https://www.slist.kr/news/articleView.html?idxno=632675,"연예인 판정단으로는 지난주에 이어 '원조 꽃미남 스타' 김원준, '뇌섹 베이시스트' 페퍼톤스 이장원, '명품 발라더' 2AM 창민, '8연승 가왕 동방불패' 손승연, '팔방미인 모델' 이현이, '대세 개그맨' 임우일, '<b>나는 반딧불</b>... ","Fri, 04 Apr 2025 14:46:00 +0900"
6,"가수 황가람, 무명 탈출 넘어 콘서트까지…'<b>나는 반딧불</b>' 대세 입증",https://www.job-post.co.kr/news/articleView.html?idxno=139932,https://www.job-post.co.kr/news/articleView.html?idxno=139932,"가수 황가람이 발표한 곡 '<b>나는 반딧불</b>'이 주요 음원 차트 정상을 차지하며 롱런 히트의 조짐을 보이고... 츨처 = JMG(더블엑스엔터테인먼트) '<b>나는 반딧불</b>'은 발매 초기부터 카카오뮤직 실시간 차트, 노래방 인기... ","Fri, 04 Apr 2025 14:40:00 +0900"
7,'복면가왕' 송승헌과 어깨를 나란히 한 90년대 청춘스타 정체는?,http://www.stoo.com/article.php?aid=99651999128,http://www.stoo.com/article.php?aid=99651999128,"연예인 판정단으로는 지난주에 이어 '원조 꽃미남 스타' 김원준, '뇌섹 베이시스트' 페퍼톤스 이장원, '명품 발라더' 2AM 창민, '8연승 가왕 동방불패' 손승연, '팔방미인 모델' 이현이, '대세 코미디언' 임우일, '<b>나는 반딧불</b>... ","Fri, 04 Apr 2025 14:18:00 +0900"
8,'복면가왕' 송승헌과 어깨 나란히 한 청춘스타 등장? 정체 누구길래,http://enews.imbc.com/News/RetrieveNewsInfo/455859,https://m.entertain.naver.com/article/408/0000260633,"‘<b>나는 반딧불</b>’ 피노키오 황가람, ‘음색 여신’ 러블리즈 케이가 출격해 볼거리를 더한다. 가슴을 울리는 섬세한 표현력으로 눈물샘을 자극하며 가왕석을 지킨 ‘꽃보다 향수’가 7연승에 도전한다. '복면가왕' 역사상... ","Fri, 04 Apr 2025 14:11:00 +0900"
9,"'<b>나는 반딧불</b>' 원곡 감성 재해석한 황가람, 음원 차트 1위 달성",https://www.stardailynews.co.kr/news/articleView.html?idxno=482476,https://www.stardailynews.co.kr/news/articleView.html?idxno=482476,황가람이 리메이크한 '<b>나는 반딧불</b>'이 음원 차트 정상에 오르며 뜨거운 반응을 얻고 있다. 지난해 10월 21일... 중식이의 원곡을 황가람 특유의 섬세하고 진솔한 감성으로 재해석한 '<b>나는 반딧불</b>'은 리스너들에게 깊은... ,"Fri, 04 Apr 2025 13:18:00 +0900"
